timestamp,step,x,y,yaw,v,omega,x_ref,y_ref,yaw_ref,v_ref,curvature_ref,lateral_error,heading_error,velocity_error,longitudinal_error,accel,steering_angle,jerk_accel,steering_rate,mpc_comp_time_ms,mpc_status,min_clearance,nearest_obstacle_id,collision_detected,collision_count,active_destination_id,goal_x,goal_y,replan_count,replan_in_progress,route_completion_ratio
0.0,0,0.0,0.0,0.4658,0.0,0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.5,0.0,0.06,0.0082,0.0,0.0,157.49,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.05,1,0.0,0.0,0.4658,0.003,0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.497,0.0,0.12,0.0121,1.2,0.0788,156.89,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.1,2,0.0001,0.0001,0.4658,0.009,0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.491,0.0,0.18,0.0145,1.2,0.048,162.351,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.15,3,0.0005,0.0003,0.4658,0.018,0.0002,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.482,0.0,0.24,0.0163,1.2,0.0359,200.765,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.2,4,0.0013,0.0007,0.4658,0.03,0.0005,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.47,0.0,0.3,0.0183,1.2,0.0396,191.672,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.25,5,0.0027,0.0013,0.4658,0.045,0.0007,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.455,0.0,0.36,0.0195,1.2,0.0232,145.871,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0001
0.3,6,0.0047,0.0024,0.4659,0.063,0.0012,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0002,-1.437,0.0,0.42,0.0223,1.2,0.0571,160.937,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0002
0.35,7,0.0075,0.0038,0.4659,0.084,0.0018,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0002,-1.416,0.0,0.48,0.0252,1.2,0.0575,165.651,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0003
0.4,8,0.0113,0.0057,0.466,0.108,0.0025,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0003,-1.392,0.0,0.54,0.0279,1.2,0.054,157.811,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0004
0.45,9,0.0161,0.0081,0.4662,0.135,0.0036,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0005,-1.365,0.0,0.6,0.0317,1.2,0.0761,156.699,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0005
0.5,10,0.0221,0.0111,0.4663,0.165,0.0047,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0006,-1.335,0.0,0.66,0.0339,1.2,0.0446,179.476,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0007
0.55,11,0.0295,0.0148,0.4666,0.198,0.0063,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0009,-1.302,0.0,0.72,0.0384,1.2,0.0891,139.906,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.001
0.6,12,0.0383,0.0193,0.4669,0.234,0.0081,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0012,-1.266,0.0,0.78,0.0416,1.2,0.0642,176.233,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0013
0.65,13,0.0488,0.0245,0.4673,0.273,0.0102,0.05,0.0251,0.4657,1.5,0.0,0.0001,0.0016,-1.227,0.0,0.84,0.0449,1.2,0.0652,131.11,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0016
0.7,14,0.061,0.0307,0.4678,0.315,0.0132,0.1,0.0503,0.4656,1.5,0.0,0.0,0.0022,-1.185,0.0,0.9,0.0501,1.2,0.105,125.739,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.002
0.75,15,0.075,0.0378,0.4685,0.36,0.0158,0.1,0.0503,0.4656,1.5,0.0,0.0,0.0029,-1.14,0.0,0.96,0.0528,1.2,0.0532,127.332,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0025
0.8,16,0.0911,0.0459,0.4692,0.408,0.0182,0.1,0.0503,0.4656,1.5,0.0,0.0001,0.0036,-1.092,0.0,1.02,0.0535,1.2,0.0139,145.379,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.003
0.85,17,0.1093,0.0552,0.4702,0.459,0.0212,0.15,0.0754,0.4655,1.5,0.0,0.0002,0.0047,-1.041,0.0,1.08,0.0555,1.2,0.04,121.926,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0036
0.9,18,0.1297,0.0655,0.4712,0.513,0.0237,0.15,0.0754,0.4655,1.5,0.0,0.0003,0.0057,-0.987,0.0,1.14,0.0553,1.2,-0.0024,111.38,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0043
0.95,19,0.1526,0.0772,0.4724,0.57,0.0259,0.2,0.1005,0.4653,1.5,0.0,0.0004,0.0071,-0.93,0.0,1.2,0.0544,1.2,-0.0189,107.551,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0051
1.0,20,0.178,0.0902,0.4737,0.63,0.0273,0.2,0.1005,0.4653,1.5,0.0,0.0006,0.0084,-0.87,0.0,1.26,0.0519,1.2,-0.0505,107.788,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0059
1.05,21,0.206,0.1045,0.4751,0.693,0.0268,0.25,0.1256,0.465,1.5,0.0,0.0009,0.0101,-0.807,0.0,1.32,0.0464,1.2,-0.1095,107.855,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0069
1.1,22,0.2368,0.1204,0.4764,0.759,0.0252,0.25,0.1256,0.465,1.5,0.0,0.0012,0.0114,-0.741,0.0,1.38,0.0398,1.2,-0.1314,106.882,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0079
1.15,23,0.2705,0.1378,0.4777,0.828,0.0216,0.3,0.1507,0.4646,1.5,0.0,0.0017,0.0131,-0.672,0.0,1.44,0.0313,1.2,-0.1699,91.034,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.009
1.2,24,0.3073,0.1568,0.4787,0.9,0.0177,0.35,0.1757,0.4642,1.5,0.0,0.0022,0.0145,-0.6,0.0,1.5,0.0236,1.2,-0.1538,78.981,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0102
1.25,25,0.3472,0.1775,0.4796,0.975,0.0083,0.35,0.1757,0.4642,1.5,0.0,0.0029,0.0154,-0.525,0.0,1.5,0.0102,0.0,-0.2686,100.264,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0116
1.3,26,0.3905,0.2,0.48,1.05,-0.0001,0.4,0.2007,0.4637,1.5,0.0,0.0037,0.0163,-0.45,0.0,1.5,-0.0001,0.0,-0.2069,74.961,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.013
1.35,27,0.4371,0.2243,0.48,1.125,-0.0086,0.45,0.2257,0.4632,1.5,0.0,0.0045,0.0168,-0.375,0.0,1.5,-0.0092,0.0,-0.1812,57.449,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0146
1.4,28,0.4869,0.2503,0.4796,1.2,-0.0151,0.5,0.2507,0.4626,1.5,0.0,0.0054,0.017,-0.3,0.0,1.44,-0.0151,-1.2,-0.1181,63.291,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0162
1.45,29,0.5402,0.2779,0.4788,1.272,-0.0274,0.55,0.2756,0.4619,1.5,0.0,0.0065,0.0169,-0.228,0.0,1.38,-0.0258,-1.2,-0.2143,61.648,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.018
1.5,30,0.5966,0.3073,0.4775,1.341,-0.0421,0.6,0.3005,0.4612,1.5,0.0,0.0075,0.0163,-0.159,0.0,1.32,-0.0377,-1.2,-0.2373,107.969,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0199
1.55,31,0.6562,0.3381,0.4754,1.407,-0.0514,0.7,0.35,0.4596,1.5,0.0,0.0087,0.0158,-0.093,0.0,1.26,-0.0438,-1.2,-0.1226,104.318,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0219
1.6,32,0.7187,0.3703,0.4728,1.47,-0.0621,0.75,0.3748,0.4586,1.5,0.0,0.0098,0.0142,-0.03,0.0,1.2,-0.0506,-1.2,-0.1364,126.525,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.024
1.65,33,0.7842,0.4037,0.4697,1.53,-0.0699,0.8,0.3994,0.4577,1.5,0.0,0.0109,0.012,0.03,0.0,1.14,-0.0548,-1.2,-0.0832,150.476,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0261
1.7,34,0.8524,0.4384,0.4662,1.587,-0.0759,0.9,0.4485,0.4555,1.5,0.0,0.0118,0.0107,0.087,0.0,1.08,-0.0573,-1.2,-0.0504,134.883,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0284
1.75,35,0.9233,0.474,0.4624,1.641,-0.0862,0.95,0.473,0.4543,1.5,0.0,0.0127,0.0081,0.141,0.0,1.02,-0.0629,-1.2,-0.1127,140.341,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0308
1.8,36,0.9967,0.5106,0.4581,1.692,-0.0931,1.0,0.4974,0.4531,1.5,0.0,0.0133,0.005,0.192,0.0,0.96,-0.0659,-1.2,-0.06,145.003,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0332
1.85,37,1.0726,0.548,0.4534,1.74,-0.0977,1.1,0.5459,0.4504,1.5,0.0,0.0139,0.003,0.24,0.0,0.9,-0.0673,-1.2,-0.0271,132.177,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0358
1.9,38,1.1508,0.5862,0.4486,1.785,-0.0965,1.2,0.5941,0.4475,1.5,0.0,0.0141,0.0011,0.285,0.0,0.84,-0.0648,-1.2,0.0507,168.046,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0384
1.95,39,1.2312,0.6249,0.4437,1.827,-0.0968,1.25,0.618,0.4459,1.5,0.0,0.0143,-0.0022,0.327,0.0,0.78,-0.0635,-1.2,0.0249,143.222,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.041
